"","V1","V1.1","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","NA.","sent_mean","sent_sd","sent_sum","covid","action","drama","horror","crime","thriller","comedy","documentary","war","adventure","biography","family","romance","fantasy","animation","mystery","musical","music","sci-fi","sport","history","western","j"
"16",16,16,"7500","tt6436726",6.3,22440,"movie","7500",0,2019,"\N",93,"Action,Drama,Thriller","R",0,"Glenn Kenny","‘7500’ Review: Claustrophobia and Ethical Dilemmas on a Hijacked Plane","If you’ve ever wondered what it would be like to be locked in a cockpit while hijackers bang on its door, this movie from Patrick Vollrath delivers.",2020-06-18,2020-06-18,"2020-06-18 11:04:06","article","https://www.nytimes.com/2020/06/18/movies/7500-review.html","Read the New York Times Review of 7500","mediumThreeByTwo210","https://static01.nyt.com/images/2020/06/19/arts/19seventy-fivehundred-art/19seventy-fivehundred-art-mediumThreeByTwo210.jpg",140,210,NA,0.0178571428571429,0.0944911182523068,0.5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",17,17,"76 Days","tt12801326",7.2,744,"movie","76 Days",0,2020,"\N",93,"Documentary,Drama","",1,"Nicolas Rapold","‘76 Days’ Review: Fortitude on China’s Frontlines","Shot in four Wuhan hospitals during coronavirus lockdown, the film takes a grounded, humane perspective on doctors, nurses and patients.",2020-12-03,2020-12-04,"2020-12-03 12:04:09","article","https://www.nytimes.com/2020/12/03/movies/76-days-review.html","Read the New York Times Review of 76 Days","mediumThreeByTwo210","https://static01.nyt.com/images/2020/12/04/arts/seventysix1/seventysix1-mediumThreeByTwo210.jpg",140,210,NA,-0.02,0.166543814371063,-0.4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",18,18,"A Beautiful Day In The Neighborhood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG",0,"A.O. Scott","‘A Beautiful Day in the Neighborhood’ Review: You Are My Friend","Tom Hanks plays Mister Rogers, the beloved children’s television host, as he comes to the aid of a suffering magazine writer.",2019-11-21,2019-11-22,"2019-12-21 17:44:01","article","https://www.nytimes.com/2019/11/21/movies/a-beautiful-day-in-the-neighborhood-review.html","Read the New York Times Review of A Beautiful Day In The Neighborhood","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/23/arts/20beautiful2/merlin_164621823_5420f47f-8b57-4dfb-88bf-a7d493b96163-mediumThreeByTwo210.jpg",140,210,NA,0.0227272727272727,0.326499206127261,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19",19,19,"A Call to Spy","tt7698468",6.4,2799,"movie","A Call to Spy",0,2019,"\N",123,"Biography,Crime,Drama","PG-13",0,"Lovia Gyarkye","‘A Call to Spy’ Review: A Resistance Led by Women","Some tough agents help Winston Churchill take on the Nazis.",2020-10-01,2020-10-02,"2020-10-16 16:44:02","article","https://www.nytimes.com/2020/10/01/movies/a-call-to-spy-review.html","Read the New York Times Review of A Call to Spy","mediumThreeByTwo210","https://static01.nyt.com/images/2020/10/02/arts/call1/call1-mediumThreeByTwo210.jpg",140,210,NA,0.025,0.0790569415042095,0.25,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"20",20,20,"A Chef's Voyage","tt10245450",7.1,113,"movie","A Chef's Voyage",0,2020,"\N",90,"Documentary","",0,"Ben Kenigsberg","‘A Chef’s Voyage’ Review: Not the Freshest Ingredients","This documentary is a tedious chronicle of a California restaurant staff’s French tour.",2020-09-17,2020-04-03,"2020-09-17 11:04:03","article","https://www.nytimes.com/2020/09/17/movies/a-chefs-voyage-review.html","Read the New York Times Review of A Chef's Voyage","mediumThreeByTwo210","https://static01.nyt.com/images/2020/09/14/arts/chefs1/chefs1-mediumThreeByTwo210.jpg",140,210,NA,-0.0285714285714286,0.138278266986823,-0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21",21,21,"A Christmas Prince: The Royal Baby","tt10006006",5.4,5405,"movie","A Christmas Prince: The Royal Baby",0,2019,"\N",84,"Family,Romance","",0,"Helen T. Verongos","‘A Christmas Prince: The Royal Baby’ Review: The Title Says It All","This holiday film on Netflix, the third in a series, is both flimsy and flat, but if royal romance is what you crave, you’ve found it.",2019-12-06,2019-12-05,"2019-12-06 17:14:02","article","https://www.nytimes.com/2019/12/06/movies/a-christmas-prince-the-royal-baby-review.html","Read the New York Times Review of A Christmas Prince: The Royal Baby","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/07/arts/06CHRISTMAS-PRINCEPIX/06CHRISTMAS-PRINCEPIX-mediumThreeByTwo210.jpg",140,210,NA,0.0425925925925926,0.241272150718334,1.15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"22",22,22,"A Dog Called Money","tt8299778",6.6,550,"movie","A Dog Called Money",0,2019,"\N",94,"Documentary","",0,"Glenn Kenny","‘A Dog Called Money’ Review: Lyrical Encounters With PJ Harvey","In this documentary, the musician PJ Harvey travels to Kabul, Kosovo and Washington, D.C. to find inspiration.",2020-12-09,2020-12-09,"2020-12-09 12:04:04","article","https://www.nytimes.com/2020/12/09/movies/a-dog-called-money-review.html","Read the New York Times Review of A Dog Called Money","mediumThreeByTwo210","https://static01.nyt.com/images/2020/12/07/arts/pjharvey1/pjharvey1-mediumThreeByTwo210.jpg",140,210,NA,0.0555555555555556,0.235702260395516,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23",23,23,"A Dog's Journey","tt8385474",7.5,20060,"movie","A Dog's Journey",0,2019,"\N",109,"Adventure,Comedy,Drama","PG",0,"GLENN KENNY","‘A Dog’s Journey’ Review: Good Boys (and Girls) on a Mission","This sentimentality-steeped film is a feel-good tale with a sad side.",2019-05-16,2019-05-17,"2019-06-07 16:44:02","article","https://www.nytimes.com/2019/05/16/movies/a-dogs-journey-review.html","Read the New York Times Review of A Dog's Journey","mediumThreeByTwo210","https://static01.nyt.com/images/2019/05/17/arts/16dogsjourney1/dogsjourney1-mediumThreeByTwo210-v2.jpg",140,210,NA,0.05,0.279880927062444,0.65,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",24,24,"A Faithful Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"BEN KENIGSBERG","‘A Faithful Man’ Review: Low Key. Low Fidelity.","Louis Garrel stars in and directs this film about two women competing for his affections.",2019-07-18,2019-07-19,"2019-08-09 16:44:01","article","https://www.nytimes.com/2019/07/18/movies/a-faithful-man-review.html","Read the New York Times Review of A Faithful Man","mediumThreeByTwo210","https://static01.nyt.com/images/2019/07/17/travel/faithful1/merlin_157859391_d81b0ced-a76d-4f7b-a08d-d51c0d027a1e-mediumThreeByTwo210.jpg",140,210,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",25,25,"A Fall from Grace","tt11390036",5.9,12670,"movie","A Fall from Grace",0,2020,"\N",120,"Drama,Fantasy,Thriller","",0,"Candice Frederick","‘A Fall From Grace’ Review: A Trope-Filled Thriller From Tyler Perry","Even with Netflix’s backing and a supposedly suspenseful premise, his latest movie is, once again, about a sad, downtrodden woman.",2020-01-17,2020-01-17,"2020-01-17 08:04:02","article","https://www.nytimes.com/2020/01/17/movies/tyler-perrys-a-fall-from-grace-review.html","Read the New York Times Review of A Fall from Grace","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/14/arts/fallfromgrace1/fallfromgrace1-mediumThreeByTwo210.jpg",140,210,NA,-0.0119047619047619,0.12440333788203,-0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"26",26,26,"A German Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"Ben Kenigsberg","‘A German Youth’ Review: Lights, Camera, Guerrilla Tactics?","The documentary traces the origins of the Red Army Faction with a dizzying assemblage of archival footage.",2019-12-05,2019-10-11,"2019-12-06 05:24:02","article","https://www.nytimes.com/2019/12/05/movies/a-german-youth-review.html","Read the New York Times Review of A German Youth","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/05germanyouth/05germanyouth-mediumThreeByTwo210-v2.jpg",140,210,NA,-0.00882352941176471,0.117573506419451,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",27,27,"A Girl Missing","tt9778738",6.3,623,"movie","Yokogao",0,2019,"\N",111,"Drama","",0,"Jeannette Catsoulis","‘A Girl Missing’ Review: In Two Minds","A contented nurse finds her life wrecked and her sanity threatened by the fallout from a kidnapping.",2020-07-30,2020-07-31,"2020-07-30 11:04:05","article","https://www.nytimes.com/2020/07/30/movies/a-girl-missing-review.html","Read the New York Times Review of A Girl Missing","mediumThreeByTwo210","https://static01.nyt.com/images/2020/07/29/arts/girlmissing1/girlmissing1-mediumThreeByTwo210.jpg",140,210,NA,-0.176470588235294,0.361903667715433,-3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28",28,28,"A Glitch in the Matrix","tt9847360",5.3,737,"movie","A Glitch in the Matrix",0,2021,"\N",108,"Documentary","",0,"Glenn Kenny","‘A Glitch in the Matrix’ Review: Is This All Just a Simulation?","This documentary, from the director of “Room 237,” is a lively yet superficial exploration of the theory that our reality is actually a computer simulation.",2021-02-04,2021-02-05,"2021-02-04 12:09:02","article","https://www.nytimes.com/2021/02/04/movies/a-glitch-in-the-matrix-review.html","Read the New York Times Review of A Glitch in the Matrix","mediumThreeByTwo210","https://static01.nyt.com/images/2021/02/04/arts/04glitch-art/04glitch-art-mediumThreeByTwo440.jpg",140,210,NA,0.04,0.212622513702885,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29",29,29,"A Hidden Life","tt5827916",7.4,19418,"movie","A Hidden Life",0,2019,"\N",174,"Biography,Drama,Romance","PG-13",0,"A.O. Scott","‘A Hidden Life’ Review: Refusing Hitler, Embracing Beauty","Terrence Malick’s film telling the story of an Austrian farmer’s heroic defiance of the Nazis is gorgeous and at times frustrating.",2019-12-12,2019-12-13,"2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/a-hidden-life-review.html","Read the New York Times Review of A Hidden Life","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/12/arts/12hiddenlife1/12hiddenlife1-mediumThreeByTwo210.jpg",140,210,NA,0.0217391304347826,0.281160778557767,0.5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"30",30,30,"A Million Little Pieces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,"Jeannette Catsoulis","‘A Million Little Pieces’ Review: Cracking Up","A committed lead performance and some eloquent visuals aren’t enough to save this hackneyed tale of a rehab-resisting addict.",2019-12-05,2019-12-06,"2019-12-13 17:44:01","article","https://www.nytimes.com/2019/12/05/movies/a-million-little-pieces-review.html","Read the New York Times Review of A Million Little Pieces","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/06/arts/million1/merlin_165234591_8ed988f2-68c7-4d51-a73f-70c4ab025ed4-mediumThreeByTwo210.jpg",140,210,NA,0.0142857142857143,0.345739373351827,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31",31,31,"A Rainy Day in New York","tt7139936",6.5,32790,"movie","A Rainy Day in New York",0,2019,"\N",92,"Comedy,Romance","PG-13",0,"A.O. Scott","‘A Rainy Day in New York’ Review: How to Ruin Your Weekend","Timothée Chalamet and Elle Fanning attempt a madcap Manhattan adventure in this Woody Allen feature.",2020-10-06,2020-11-10,"2020-10-06 21:28:02","article","https://www.nytimes.com/2020/10/06/movies/a-rainy-day-in-new-york-review.html","Read the New York Times Review of A Rainy Day in New York","mediumThreeByTwo210","https://static01.nyt.com/images/2020/10/09/arts/06rainyday-1/merlin_177908868_2af76f2f-f939-4a4a-bd57-99ec007d3d90-mediumThreeByTwo210.jpg",140,210,NA,0.0333333333333333,0.129099444873581,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"32",32,32,"A Score to Settle","tt3758162",4.6,4534,"movie","A Score to Settle",0,2019,"\N",103,"Action,Crime,Thriller","Not Rated",0,"JEANNETTE CATSOULIS","‘A Score to Settle’ Review: Vengeance Is Fine","As a dying mobster of dubious mental clarity, Nicolas Cage could not be more perfect for Shawn Ku’s loopy revenge thriller.",2019-08-01,2019-08-02,"2019-08-09 16:44:01","article","https://www.nytimes.com/2019/08/01/movies/a-score-to-settle-review.html","Read the New York Times Review of A Score to Settle","mediumThreeByTwo210","https://static01.nyt.com/images/2019/07/30/arts/score1/merlin_158439648_e42178ef-2146-4e67-a0a0-d8ff7bbaa7e7-mediumThreeByTwo210.jpg",140,210,NA,-0.113636363636364,0.420368834132547,-2.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"33",33,33,"A Secret Love","tt3260524",7.9,3534,"movie","A Secret Love",0,2020,"\N",81,"Documentary,Drama","",0,"Natalia Winkelman","‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection","This tender film explores the partnership between two women who lived, in public and to kin, as dear friends for six decades.",2020-04-29,2020-04-29,"2020-04-29 07:06:03","article","https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html","Read the New York Times Review of A Secret Love","mediumThreeByTwo210","https://static01.nyt.com/images/2020/04/27/arts/secret01/secret01-mediumThreeByTwo210.jpg",140,210,NA,0.0931818181818182,0.245092526039344,2.05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34",34,34,"A Shaun the Sheep Movie: Farmageddon","tt6193408",6.8,10684,"movie","A Shaun the Sheep Movie: Farmageddon",0,2019,"\N",86,"Adventure,Animation,Comedy","G",0,"Jason Bailey","‘Shaun the Sheep: Farmageddon’ Review: Sci-Fi With a Dash of Chaplin","The animated animal’s latest big-screen adventure is very funny and refreshingly cheerful.",2020-02-13,2020-02-14,"2020-02-13 12:04:06","article","https://www.nytimes.com/2020/02/13/movies/shaun-the-sheep-movie-farmageddon-review.html","Read the New York Times Review of A Shaun the Sheep Movie: Farmageddon","mediumThreeByTwo210","https://static01.nyt.com/images/2020/02/14/arts/farmageddon1/farmageddon1-mediumThreeByTwo210.jpg",140,210,NA,0.192857142857143,0.297978537467397,2.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"35",35,35,"A Thousand Cuts","tt11394166",7.7,559,"movie","A Thousand Cuts",0,2020,"\N",99,"Documentary","",1,"Ben Kenigsberg","‘A Thousand Cuts’ Review: A Free Press Endures Lacerations","This documentary profiles Maria Ressa, a journalist who has fearlessly chronicled abuses in the Philippines under the Duterte government.",2020-08-10,2020-08-07,"2020-08-10 20:04:03","article","https://www.nytimes.com/2020/08/10/movies/a-thousand-cuts-review.html","Read the New York Times Review of A Thousand Cuts","mediumThreeByTwo210","https://static01.nyt.com/images/2020/08/14/arts/thousand1/thousand1-mediumThreeByTwo210.jpg",140,210,NA,-0.0105263157894737,0.251428666362859,-0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36",36,36,"A Vigilante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,"MANOHLA DARGIS","‘A Vigilante’ Review: Vengeance Is Hers","Olivia Wilde stars as an avenger of domestic-abuse victims in Sarah Daggar-Nickson’s satisfyingly lean, mean genre movie.",2019-03-28,2019-03-29,"2019-04-05 16:44:01","article","https://www.nytimes.com/2019/03/28/movies/a-vigilante-review.html","Read the New York Times Review of A Vigilante","mediumThreeByTwo210","https://static01.nyt.com/images/2019/03/29/arts/28vigilante-1/28vigilante-1-mediumThreeByTwo210.jpg",140,210,NA,-0.0575,0.32292862173682,-1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
