OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-TX,USGS Texas Water Science Center,USGS-08053000,"Elm Fk Trinity Rv nr Lewisville, TX",Stream,,12030103,1673,sq mi,1673,sq mi,33.04567730000000,-96.9611173000000,24000,5,seconds,Interpolated from MAP.,NAD83,432.39,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,121,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08053003,"Elm Fk Trinity Rv at Hebron Pkwy nr Lewisville, TX",Stream,,12030103,,,,,33.01285000000000,-96.9512833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,438,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,121,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08054510,"Denton Ck dws of Grapevine Lk nr Grapevine, TX",Stream,,12030104,,,,,32.97316667000000,-97.0528000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,472,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,439,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08055050,"Denton Ck at Denton Tap Rd nr Grapevine, TX",Stream,,12030104,,,,,32.98051667000000,-96.9938833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,445,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08055400,"Denton Ck at Sandy Lk Rd nr Carrollton, TX",Stream,,12030104,,,,,32.96781667000000,-96.9530500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,441,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08055500,"Elm Fk Trinity Rv nr Carrollton, TX",Stream,,12030103,2459,sq mi,2459,sq mi,32.96595700000000,-96.9444500000000,24000,5,seconds,Interpolated from MAP.,NAD83,431.40,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08055517,"Elm Fk Trinity Rv at Valley View Ln nr Irving, TX",Stream,,12030103,,,,,32.91450000000000,-96.9384333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,417,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08055620,"Elm Fk Trinity Rv at SH Spur 482 nr Irving, TX",Stream,,12030103,,,,,32.84781667000000,-96.8934667000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,410,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08056400,"Trinity Rv at Westmoreland Rd, Dallas, TX",Stream,,12030105,6074,sq mi,6074,sq mi,32.79790674000000,-96.8736145000000,24000,5,seconds,Interpolated from MAP.,NAD83,399,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08057200,"White Rk Ck at Greenville Ave, Dallas, TX",Stream,,12030105,66.4,sq mi,66.4,sq mi,32.88929207000000,-96.7566664000000,24000,5,seconds,Interpolated from MAP.,NAD83,400,feet,10,feet,Interpolated from topographic map.,NGVD29,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08057410,"Trinity Rv bl Dallas, TX",Stream,,12030105,6278,sq mi,6278,sq mi,32.70763139000000,-96.7358319000000,24000,5,seconds,Interpolated from MAP.,NAD83,365.89,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08064100,"Chambers Ck nr Rice, TX",Stream,,12030109,807,sq mi,807,sq mi,32.19848230000000,-96.5202639000000,24000,5,seconds,Interpolated from MAP.,NAD83,340.00,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,349,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08064700,"Tehuacana Ck nr Streetman, TX",Stream,,12030201,142,sq mi,142,sq mi,31.84849638000000,-96.2899755000000,24000,5,seconds,Interpolated from MAP.,NAD83,287.58,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,161,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08065000,"Trinity Rv nr Oakwood, TX",Stream,,12030201,12833,sq mi,12833,sq mi,31.64850597000000,-95.7894029000000,24000,5,seconds,Interpolated from MAP.,NAD83,175.06,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,001,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08066000,"Trinity Rv at Riverside, TX",Stream,,12030202,15589,sq mi,15589,sq mi,30.85935514000000,-95.3988300000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,.1,feet,Level or other surveyed method.,NAVD88,US,48,471,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08066190,"Livingston Res nr Goodrich, TX","Lake, Reservoir, Impoundment",,12030202,16583,sq mi,16583,sq mi,30.63353080000000,-95.0102130000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,373,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08066200,"Long King Ck at Livingston, TX",Stream,,12030202,141,sq mi,141,sq mi,30.71630600000000,-94.9588237000000,24000,5,seconds,Interpolated from MAP.,NAD83,100.12,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,373,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08066250,"Trinity Rv nr Goodrich, TX",Stream,,12030202,16844,sq mi,16844,sq mi,30.57214544000000,-94.9488223000000,24000,5,seconds,Interpolated from MAP.,NAD83,40.00,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,373,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08066500,"Trinity Rv at Romayor, TX",Stream,,12030203,17186,sq mi,17186,sq mi,30.42520670000000,-94.8507622000000,24000,5,seconds,Interpolated from MAP.,NAD83,25.92,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,291,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08067000,"Trinity Rv at Liberty, TX",Stream,,12030203,17468,sq mi,17468,sq mi,30.05771539000000,-94.8182567000000,24000,5,seconds,Interpolated from MAP.,NAD83,-2.22,feet,.5,feet,Level or other surveyed method.,NGVD29,US,48,291,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08067074,"CWA Canal at Thompson Rd nr Baytown, TX",Stream: Canal,,12040104,,,,,29.80674444000000,-95.0323972000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,36,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08067230,"Old Rv Lk site OLDR nr Wallisville, TX","Lake, Reservoir, Impoundment",,12030203,83.1,sq mi,83.1,sq mi,29.83077698000000,-94.7993663000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,071,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08067252,"Trinity Rv at Wallisville, TX",Stream,,12030203,17796,sq mi,17796,sq mi,29.81244340000000,-94.7313087000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,071,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08067254,"Old Rv at Buckeye Island nr Anahuac, TX",Stream,,12030203,,,,,29.80395278000000,-94.7435778000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,071,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08068500,"Spring Ck nr Spring, TX",Stream,,12040102,409,sq mi,409,sq mi,30.11049517000000,-95.4363275000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,.1,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,339,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08069500,"W Fk San Jacinto Rv nr Humble, TX",Stream,,12040101,1741,sq mi,1741,sq mi,30.02716385000000,-95.2579888000000,24000,5,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08070200,"E Fk San Jacinto Rv nr New Caney, TX",Stream,,12040103,388,sq mi,388,sq mi,30.14523056000000,-95.1246139000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,339,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08071330,"Luce Bayou at Huffman Cleveland Rd nr Huffman, TX",Stream,,12040103,,,,,30.05558889000000,-95.0997722000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,42,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08072050,"San Jacinto Rv nr Sheldon, TX",Stream,,12040104,2879,sq mi,2879,sq mi,29.87633426000000,-95.0938189000000,24000,5,seconds,Interpolated from MAP.,NAD83,00,feet,.1,feet,Level or other surveyed method.,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08074620,"Buffalo Bayou at Hirsch St, Houston, TX",Stream,,12040104,457,sq mi,457,sq mi,29.75995017000000,-95.3291038000000,24000,1,seconds,Interpolated from MAP.,NAD83,15,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08074700,"Buffalo Bayou at 69th St, Houston, TX",Stream,,12040104,463,sq mi,463,sq mi,29.75439464000000,-95.2977141000000,24000,5,seconds,Interpolated from MAP.,NAD83,1,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08075000,"Brays Bayou at Houston, TX",Stream,,12040104,94.9,sq mi,94.9,sq mi,29.69717469000000,-95.4121620000000,24000,5,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08075110,"Brays Bayou at MLK Jr Blvd, Houston, TX",Stream,,12040104,135,sq mi,135,sq mi,29.71416667000000,-95.3388889000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,00,feet,1,feet,Level or other surveyed method.,NAVD88,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08075120,"Brays Bayou at Lidstone Ave, Houston, TX",Stream,,12040104,136,sq mi,136,sq mi,29.71217376000000,-95.3227149000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08076530,"Halls Bayou at Parker Rd, Houston, TX",Stream,,12040104,34.7,sq mi,34.7,sq mi,29.85661368000000,-95.3057690000000,24000,1,seconds,Interpolated from MAP.,NAD83,35,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08076535,"Allwood St Trib Halls Bayou, Houston, TX",Stream,,12040104,3.26,sq mi,3.26,sq mi,29.85466930000000,-95.3113247000000,24000,1,seconds,Interpolated from MAP.,NAD83,30,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08076540,"Halls Bayou at Homestead Blvd, Houston, TX",Stream,,12040104,38.2,sq mi,38.2,sq mi,29.85328043000000,-95.3004911000000,24000,1,seconds,Interpolated from MAP.,NAD83,45,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,201,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08084000,"Clear Fk Brazos Rv at Nugent, TX",Stream,,12060102,2199,sq mi,2199,sq mi,32.69011860000000,-99.6695326000000,24000,5,seconds,Interpolated from MAP.,NAD83,1531.91,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,253,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08084100,"Deadman Ck nr Nugent, TX",Stream,,12060102,163,sq mi,163,sq mi,32.67678588000000,-99.6170310000000,24000,5,seconds,Interpolated from MAP.,NAD83,1572,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,253,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08084200,"Clear Fk Brazos Rv at Lueders, TX",Stream,,12060102,2542,sq mi,,,32.79500000000000,-99.6056944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1474.92,feet,.1,feet,Global Positioning System.,NAVD88,US,48,417,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08084300,"Clear Fk Brazos Rv at Krooked Lodge nr Lueders, TX",Stream,,12060102,2746,sq mi,2746,sq mi,32.98138333000000,-99.4674750000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1334,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,447,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08085500,"Clear Fk Brazos Rv at Ft Griffin, TX",Stream,,12060104,4026,sq mi,4026,sq mi,32.93297778000000,-99.2153889000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,1164.09,feet,.01,feet,Level or other surveyed method.,NGVD29,US,48,417,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08086212,"Hubbard Ck bl Albany, TX",Stream,,12060105,613,sq mi,613,sq mi,32.73289717000000,-99.1406299000000,24000,5,seconds,Interpolated from MAP.,NAD83,1184.99,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,417,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08086290,"Big Sandy Ck abv Breckenridge, TX",Stream,,12060105,280,sq mi,280,sq mi,32.64845613000000,-99.0045146000000,24000,5,seconds,Interpolated from MAP.,NAD83,1180.93,feet,.18,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,429,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08111500,"Brazos Rv nr Hempstead, TX",Stream,,12070104,43880,sq mi,34314,sq mi,30.12910626000000,-96.1877387000000,24000,5,seconds,Interpolated from MAP.,NAD83,107.90,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,477,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08116650,"Brazos Rv nr Rosharon, TX",Stream,,12070104,45339,sq mi,35773,sq mi,29.34968580000000,-95.5824448000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,157,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08155500,"Barton Spgs at Austin, TX",Spring,,12090205,,,,,30.26354169000000,-97.7713947000000,24000,5,seconds,Interpolated from MAP.,NAD83,462.34,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,453,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08159200,"Colorado Rv at Bastrop, TX",Stream,,12090301,39979,sq mi,28576,sq mi,30.10466154000000,-97.3194368000000,24000,5,seconds,Interpolated from MAP.,NAD83,307.38,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,021,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08162000,"Colorado Rv at Wharton, TX",Stream,,12090302,42003,sq mi,30600,sq mi,29.30913668000000,-96.1038482000000,24000,5,seconds,Interpolated from MAP.,NAD83,52.42,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,481,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08162501,"Colorado Rv nr Wadsworth, TX",Stream,,12090302,42307,sq mi,30904,sq mi,28.77416667000000,-95.9975000000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,321,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08164000,"Lavaca Rv nr Edna, TX",Stream,,12100101,817,sq mi,817,sq mi,28.95998449000000,-96.6863668000000,24000,5,seconds,Interpolated from MAP.,NAD83,14.10,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,239,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08164390,"Navidad Rv at Strane Pk nr Edna, TX",Stream,,12100102,579,sq mi,579,sq mi,29.06553568000000,-96.6741434000000,24000,5,seconds,Interpolated from MAP.,NAD83,42.53,feet,1,feet,Reported method of determination.,NGVD29,US,48,239,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08164450,"Sandy Ck nr Ganado, TX",Stream,,12100102,289,sq mi,289,sq mi,29.16025390000000,-96.5463608000000,24000,5,seconds,Interpolated from MAP.,NAD83,59.72,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,239,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08164503,"W Mustang Ck nr Ganado, TX",Stream,,12100102,178,sq mi,178,sq mi,29.07185833000000,-96.4680278000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,40.12,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,239,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08164504,"E Mustang Ck nr Louise, TX",Stream,,12100102,53.9,sq mi,53.9,sq mi,29.07081227000000,-96.4171913000000,24000,5,seconds,Interpolated from MAP.,NAD83,43,feet,1,feet,Reported method of determination.,NGVD29,US,48,481,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08176500,"Guadalupe Rv at Victoria, TX",Stream,,12100204,5198,sq mi,5198,sq mi,28.79304560000000,-97.0130429000000,24000,5,seconds,Interpolated from MAP.,NAD83,29.15,feet,10,feet,Interpolated from topographic map.,NGVD29,US,48,469,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08178585,"Salado Ck at Wilderness Rd, San Antonio, TX",Stream,,12100301,22.1,sq mi,22.1,sq mi,29.63078135000000,-98.5655755000000,24000,5,seconds,Interpolated from MAP.,NAD83,1021.32,feet,.02,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08180800,"Medina Rv nr Somerset, TX",Stream,,12100302,967,sq mi,967,sq mi,29.26218286000000,-98.5814074000000,24000,5,seconds,Interpolated from MAP.,NAD83,493.93,feet,.17,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08180941,"Culebra Ck in GCSNA nr Helotes, TX",Stream,,12100302,12.4,sq mi,12.4,sq mi,29.53916667000000,-98.7513889000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,980,feet,10,feet,Interpolated from topographic map.,NGVD29,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08180990,"Leon Ck at IH 10 and Loop 1604 nr San Antonio, TX",Stream,,12100302,38.5,sq mi,38.5,sq mi,29.59305556000000,-98.5991667000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,978.70,feet,.03,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08181400,"Helotes Ck at Helotes, TX",Stream,,12100302,15.0,sq mi,15.0,sq mi,29.57856108000000,-98.6916896000000,24000,5,seconds,Interpolated from MAP.,NAD83,1014.82,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08181500,"Medina Rv at San Antonio, TX",Stream,,12100302,1317,sq mi,1317,sq mi,29.26412760000000,-98.4908493000000,24000,5,seconds,Interpolated from MAP.,NAD83,439.03,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08181800,"San Antonio Rv nr Elmendorf, TX",Stream,,12100301,1743,sq mi,1743,sq mi,29.22218530000000,-98.3558463000000,24000,5,seconds,Interpolated from MAP.,NAD83,380.00,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,029,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08188500,"San Antonio Rv at Goliad, TX",Stream,,12100303,3921,sq mi,3921,sq mi,28.64928610000000,-97.3848583000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,91.08,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,175,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08188600,"GBRA Calhoun Canal Pump Sta nr Long Mott, TX",Stream: Canal,,12100403,,,,,28.49666700000000,-96.7710941000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,057,,,,,,,,,NWIS
